"Latitude (decimal degrees):	30.061",,,,,,,,
"Longitude (decimal degrees):	76.760",,,,,,,,
"Elevation (m):	256",,,,,,,,
"Radiation database:	PVGIS-ERA5",,,,,,,,
,,,,,,,,
,,,,,,,,
Slope: 29 deg. ,,,,,,,,
Azimuth: 0 deg. ,,,,,,,,
"Nominal power of the PV system (c-Si) (kWp):	5.0",,,,,,,,
"System losses (%):	14.0",,,,,,,,
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20150318:0430,3203,655.76,128.24,8.47,42.39,18.33,4.21,0
20150318:0530,3771.85,805.29,139.09,10.2,52.06,20.41,4.41,0
20150318:0630,4049.8,881.1,144.14,11.08,58.08,21.98,4.97,0
20150318:0730,4016.95,869.42,150.01,11.02,58.27,23.21,5.31,0
20150318:0830,3557.85,744.86,148.33,9.67,52.54,23.77,5.45,0
20150318:0930,3114.25,647.25,128.74,8.39,43.03,23.94,5.38,0
20150318:1030,2246.95,447.03,111.21,6.04,31.59,23.95,5.31,0
20150318:1130,1082.2,206.42,80.42,3.13,19.21,23.56,4.97,0
20150318:1230,156.85,41.54,28.05,0.76,6.39,22.58,3.79,0
20150318:1330,0,0,0,0,0,20.75,3.17,0
20150318:1430,0,0,0,0,0,19.12,2.97,0
20150318:1530,0,0,0,0,0,18.21,2.97,0
20150318:1630,0,0,0,0,0,17.2,2.97,0
20150318:1730,0,0,0,0,0,16.47,3.03,0
20150318:1830,0,0,0,0,0,15.94,3.03,0
20150318:1930,0,0,0,0,0,15.82,2.76,0
20150318:2030,0,0,0,0,0,15.38,2.76,0
20150318:2130,0,0,0,0,0,14.86,2.69,0
20150318:2230,0,0,0,0,0,14.32,2.55,0
20150318:2330,0,0,0,0,0,13.77,2.48,0
20150319:0030,0,0,0,0,0,13.29,2.48,0
20150319:0130,177.9,45.52,30.67,0.84,5.89,12.89,2.34,0
20150319:0230,1210.3,223.54,85.89,3.39,18.74,13.39,1.72,0
20150319:0330,2257.65,427.59,128.95,6.08,31.17,16.99,1.72,0
20150319:0430,3009.65,586.68,173.05,8.3,42.72,19.61,1.79,0
20150319:0530,3603.75,763.6,168.65,10.14,52.43,21.71,2.21,0
20150319:0630,3922.8,873.63,152.32,11.13,58.49,23.2,2.76,0
20150319:0730,3787.4,795.86,199.87,10.85,58.65,24.36,2.62,0
20150319:0830,3332.15,618.74,245.73,9.51,52.83,25.03,2.76,0
20150319:0930,2548.7,370.14,277.16,7.31,43.25,25.25,3.24,0
20150319:1030,1668,194.45,227.88,4.91,31.77,25.11,3.66,0
20150319:1130,773.75,69.35,139.19,2.52,19.36,24.57,3.45,0
20150319:1230,131,15.51,37.5,0.65,6.53,23.52,2.69,0
20150319:1330,0,0,0,0,0,21.61,2.69,0
20150319:1430,0,0,0,0,0,20.03,2.69,0
20150319:1530,0,0,0,0,0,19.22,2.69,0
20150319:1630,0,0,0,0,0,18.53,2.69,0
20150319:1730,0,0,0,0,0,17.8,2.69,0
20150319:1830,0,0,0,0,0,17.16,2.69,0
20150319:1930,0,0,0,0,0,16.94,2.48,0
20150319:2030,0,0,0,0,0,16.39,2.34,0
20150319:2130,0,0,0,0,0,16.02,2.21,0
20150319:2230,0,0,0,0,0,15.47,2.14,0
20150319:2330,0,0,0,0,0,14.84,2.34,0
20150320:0030,0,0,0,0,0,14.49,2.28,0
20150320:0130,182.4,44.9,32.2,0.88,6.16,14.01,2.21,0
20150320:0230,1224.8,230.92,83.82,3.47,19.01,14.71,1.79,0
20150320:0330,2269.15,438.85,121.42,6.14,31.47,18.29,2.21,0
20150320:0430,3007.15,592.71,160.84,8.26,43.05,21.05,2.9,0
20150320:0530,3548.8,733.65,175.51,9.94,52.8,22.96,3.17,0
20150320:0630,3932.9,883.4,143.72,11.18,58.89,24.31,3.24,0
20150320:0730,3893.3,880.5,143.48,11.15,59.02,25.43,3.1,0
20150320:0830,3607.9,798.21,138.89,10.21,53.13,26.12,3.52,0
20150320:0930,3049.75,653.69,125.6,8.5,43.47,26.43,3.72,0
20150320:1030,2193.85,446.02,110.17,6.09,31.94,26.41,3.79,0
20150320:1130,1118.25,216.51,83.97,3.33,19.51,26.02,3.66,0
20150320:1230,157,39.54,30.09,0.8,6.66,24.95,2.76,0
20150320:1330,0,0,0,0,0,23,2.62,0
20150320:1430,0,0,0,0,0,21.35,2.55,0
20150320:1530,0,0,0,0,0,20.2,2.41,0
20150320:1630,0,0,0,0,0,19.11,2.41,0
20150320:1730,0,0,0,0,0,18.28,2.34,0
20150320:1830,0,0,0,0,0,17.59,2.34,0
20150320:1930,0,0,0,0,0,17.38,2.41,0
20150320:2030,0,0,0,0,0,16.97,2.41,0
20150320:2130,0,0,0,0,0,16.61,2.48,0
20150320:2230,0,0,0,0,0,16.32,2.41,0
20150320:2330,0,0,0,0,0,16.01,2.41,0
20150321:0030,0,0,0,0,0,15.65,2.28,0
20150321:0130,181.95,45.08,32.05,0.89,6.42,15.26,2.28,0
20150321:0230,1190.5,226.39,81.66,3.43,19.29,16.02,1.72,0
20150321:0330,2248.05,451.25,109.47,6.17,31.76,19.55,1.72,0
20150321:0430,3046.25,650.57,126.91,8.52,43.37,22.17,1.93,0
20150321:0530,3576.6,795.17,137.96,10.21,53.18,24.24,2.41,0
20150321:0630,3844.95,871.2,143.02,11.09,59.29,25.7,2.9,0
20150321:0730,3801.6,869.36,143.08,11.07,59.39,26.62,2.55,0
20150321:0830,3527.55,788.84,138.85,10.15,53.41,27.31,2.9,0
20150321:0930,2985.4,640.79,127.67,8.42,43.69,27.59,3.45,0
20150321:1030,2149.6,436.94,110.21,6.03,32.11,27.46,3.93,0
20150321:1130,1117.6,221.37,80.31,3.37,19.65,26.92,3.86,0
20150321:1230,165.9,42.74,30.8,0.86,6.8,25.82,2.97,0
20150321:1330,0,0,0,0,0,23.77,2.83,0
20150321:1430,0,0,0,0,0,22.04,2.97,0
20150321:1530,0,0,0,0,0,20.99,3.1,0
20150321:1630,0,0,0,0,0,20.23,3.03,0
20150321:1730,0,0,0,0,0,19.52,2.97,0
20150321:1830,0,0,0,0,0,18.98,3.1,0
20150321:1930,0,0,0,0,0,19.06,3.1,0
20150321:2030,0,0,0,0,0,18.69,3.1,0
20150321:2130,0,0,0,0,0,18.3,3.24,0
20150321:2230,0,0,0,0,0,17.97,3.31,0
20150321:2330,0,0,0,0,0,17.67,3.45,0
20150322:0030,0,0,0,0,-6.28,17.45,3.59,0
20150322:0130,188.15,45.5,33.54,0.94,6.69,17.15,3.59,0
20150322:0230,1210.5,231.3,82.12,3.52,19.56,18.02,3.52,0
20150322:0330,2300.25,457.9,109.46,6.28,32.06,20.41,3.66,0
20150322:0430,3138,658.54,127.02,8.64,43.7,22.86,4.14,0
20150322:0530,3689.65,804.25,138.04,10.35,53.55,24.91,4.62,0
20150322:0630,3957.5,880.28,143.09,11.22,59.69,26.47,5.03,0
20150322:0730,3939.85,877.7,143.6,11.2,59.76,27.51,5.31,0
20150322:0830,3645,797.04,139.54,10.28,53.7,28.11,5.72,0
20150322:0930,3065.3,649.91,127.79,8.56,43.9,28.3,5.93,0
20150322:1030,2218.6,454.04,106.99,6.21,32.28,28.17,6,0
20150322:1130,1139.5,226.91,80.45,3.45,19.8,27.61,5.17,0
20150322:1230,172.15,45.13,31.2,0.9,6.93,26.37,4.62,0
20150322:1330,0,0,0,0,0,24.47,4.28,0
20150322:1430,0,0,0,0,0,22.91,4,0
20150322:1530,0,0,0,0,0,21.81,3.66,0
20150322:1630,0,0,0,0,0,20.93,3.38,0
20150322:1730,0,0,0,0,0,20.25,3.17,0
20150322:1830,0,0,0,0,0,19.64,3.03,0
20150322:1930,0,0,0,0,0,19.39,3.03,0
20150322:2030,0,0,0,0,0,19.02,2.97,0
20150322:2130,0,0,0,0,0,18.64,3.03,0
20150322:2230,0,0,0,0,0,18.27,3.1,0
20150322:2330,0,0,0,0,0,17.81,3.1,0
20150323:0030,0,0,0,0,-6.02,17.35,3.03,0
20150323:0130,198.6,47.86,34.51,0.99,6.95,16.97,2.97,0
20150323:0230,1226.15,234.77,83.17,3.6,19.84,17.89,2.62,0
20150323:0330,2302.15,461.87,110.29,6.37,32.35,20.73,2.83,0
20150323:0430,3113.3,662.57,127.93,8.74,44.03,23.37,2.97,0
20150323:0530,3648.35,807.96,138.67,10.43,53.92,25.53,3.45,0
20150323:0630,3909.4,880.89,143.97,11.28,60.1,27.18,4.07,0
20150323:0730,3899.55,877.12,143.79,11.24,60.12,28.19,4.62,0
20150323:0830,3606.2,798.2,137.82,10.32,53.98,28.81,4.9,0
20150323:0930,3032.8,650.38,126.39,8.59,44.12,29.06,5.03,0
20150323:1030,2193.35,451.89,107.4,6.23,32.45,28.96,5.03,0
20150323:1130,1125.5,224.78,80.93,3.47,19.94,28.49,4.41,0
20150323:1230,169.75,43.57,31.92,0.91,7.06,27.35,3.59,0
20150323:1330,0,0,0,0,0,25.26,3.17,0
20150323:1430,0,0,0,0,0,23.44,3.1,0
20150323:1530,0,0,0,0,0,22.21,3.03,0
20150323:1630,0,0,0,0,0,21.23,2.97,0
20150323:1730,0,0,0,0,0,20.37,2.83,0
20150323:1830,0,0,0,0,0,19.59,2.69,0
20150323:1930,0,0,0,0,0,19.44,2.76,0
20150323:2030,0,0,0,0,0,18.85,2.69,0
20150323:2130,0,0,0,0,0,18.24,2.69,0
20150323:2230,0,0,0,0,0,17.74,2.55,0
20150323:2330,0,0,0,0,0,17.24,2.48,0
20150324:0030,0,0,0,0,-5.75,16.76,2.28,0
20150324:0130,209.7,49.6,35.84,1.05,7.22,16.15,2.07,0
20150324:0230,1244.55,239.7,83.56,3.69,20.11,16.93,1.17,0
20150324:0330,2274.35,466.65,110.44,6.46,32.64,21.26,1.03,0
20150324:0430,3045.9,665.09,128.08,8.81,44.35,23.93,1.31,0
20150324:0530,3554.1,808.29,138.86,10.48,54.29,26.07,1.79,0
20150324:0630,3792.6,881.9,143.84,11.33,60.5,27.68,2.07,0
20150324:0730,3749.9,878.25,143.12,11.29,60.49,28.95,2,0
20150324:0830,3480.6,796.11,138.65,10.35,54.27,29.73,2.34,0
20150324:0930,2923.6,636.59,134.02,8.57,44.33,30.16,2.48,0
20150324:1030,2104.65,431.06,117.63,6.15,32.61,30.22,2.55,0
20150324:1130,1098.95,220.24,82.5,3.46,20.08,29.81,2.48,0
20150324:1230,167.65,41.85,32.88,0.92,7.19,28.62,2,0
20150324:1330,0,0,0,0,0,26.64,2.28,0
20150324:1430,0,0,0,0,0,24.56,2.21,0
20150324:1530,0,0,0,0,0,22.96,2.21,0
20150324:1630,0,0,0,0,0,21.65,2.21,0
20150324:1730,0,0,0,0,0,20.68,2.21,0
20150324:1830,0,0,0,0,0,19.92,2.14,0
20150324:1930,0,0,0,0,0,19.38,2.07,0
20150324:2030,0,0,0,0,0,18.95,2.14,0
20150324:2130,0,0,0,0,0,18.53,2.21,0
20150324:2230,0,0,0,0,0,18.15,2.14,0
20150324:2330,0,0,0,0,0,17.63,1.86,0
20150325:0030,0,0,0,0,-5.48,17.17,1.93,0
20150325:0130,202.5,45.89,36.58,1.03,7.49,17.82,0.83,0
20150325:0230,1179.8,222.75,85.76,3.56,20.38,18.18,1.1,0
20150325:0330,2207,449.83,109.36,6.3,32.94,23.05,1.79,0
20150325:0430,2987.35,646.98,126.47,8.63,44.68,25.57,2.07,0
20150325:0530,3478.7,788.22,137.09,10.28,54.66,27.49,2.14,0
20150325:0630,3694,864.01,142.64,11.17,60.9,28.75,1.79,0
20150325:0730,3609.7,858.67,143.11,11.11,60.85,29.64,1.1,0
20150325:0830,3302.5,779.13,137.39,10.19,54.54,30.23,0.62,0
20150325:0930,2750.7,610.39,131.24,8.29,44.53,30.57,0.83,0
20150325:1030,2029.15,428.51,108.88,6.06,32.78,30.7,1.1,0
20150325:1130,987.9,175.99,99.26,3.21,20.22,30.45,1.1,0
20150325:1230,158.55,28.08,39.08,0.85,7.32,29.71,0.76,0
20150325:1330,0,0,0,0,-5.65,27.75,1.38,0
20150325:1430,0,0,0,0,0,25.32,1.86,0
20150325:1530,0,0,0,0,0,23.71,1.45,0
20150325:1630,0,0,0,0,0,23.11,1.24,0
20150325:1730,0,0,0,0,0,21.5,1.66,0
20150325:1830,0,0,0,0,0,20.58,2,0
20150325:1930,0,0,0,0,0,20.19,2.14,0
20150325:2030,0,0,0,0,0,19.67,2,0
20150325:2130,0,0,0,0,0,19.1,1.93,0
20150325:2230,0,0,0,0,0,18.58,2,0
20150325:2330,0,0,0,0,0,18.14,2,0
20150326:0030,0,0,0,0,-5.22,17.6,1.79,0
20150326:0130,216.6,49.84,37.34,1.11,7.75,17.43,1.52,0
20150326:0230,1203.35,229.22,87.26,3.68,20.66,19.4,0.9,0
20150326:0330,2028.65,381.24,138.73,5.93,33.23,23.63,0.83,0
20150326:0430,2914.7,629.39,140.38,8.64,45,26.14,0.97,0
20150326:0530,3409.4,788.58,141.14,10.37,55.02,28.21,1.03,0
20150326:0630,3606.3,837.34,161.72,11.13,61.3,29.58,1.17,0
20150326:0730,3560.65,832.01,162.89,11.09,61.22,30.75,1.03,0
20150326:0830,3325.5,767.71,148.4,10.23,54.82,31.4,1.24,0
20150326:0930,2781.75,593.55,153.94,8.4,44.74,31.8,1.52,0
20150326:1030,1831.4,330.78,152.36,5.55,32.94,31.85,1.93,0
20150326:1130,794.5,83.89,137.91,2.73,20.36,31.37,2.28,0
20150326:1230,160.75,21.64,43.57,0.85,7.45,30.03,1.93,0
20150326:1330,0,0,0,0,-5.52,28.22,2.41,0
20150326:1430,0,0,0,0,0,26.51,2.41,0
20150326:1530,0,0,0,0,0,25.51,2.28,0
20150326:1630,0,0,0,0,0,24.83,2,0
20150326:1730,0,0,0,0,0,24.07,1.72,0
20150326:1830,0,0,0,0,0,23.14,1.72,0
20150326:1930,0,0,0,0,0,22.45,2.55,0
20150326:2030,0,0,0,0,0,21.99,2.76,0
20150326:2130,0,0,0,0,0,21.61,2.76,0
20150326:2230,0,0,0,0,0,21.09,2.62,0
20150326:2330,0,0,0,0,0,20.39,2.48,0
20150327:0030,0,0,0,0,-4.95,19.68,2.41,0
20150327:0130,220.55,50.67,37.99,1.14,8.02,19.09,2.41,0
20150327:0230,1234.9,240.09,83.66,3.78,20.93,20.09,1.86,0
20150327:0330,2271.9,466.81,110.17,6.56,33.52,23.44,1.86,0
20150327:0430,3048.2,667.72,127.7,8.95,45.32,26.21,1.93,0
20150327:0530,3551.6,813.86,138.79,10.66,55.39,28.58,2.21,0
20150327:0630,3796.5,885.54,143.94,11.5,61.7,30.34,2.76,0
20150327:0730,3817.6,885.74,143.02,11.49,61.58,31.06,3.45,0
20150327:0830,3568.2,810.29,137.34,10.61,55.09,31.54,4.07,0
20150327:0930,3012.25,659.35,126.2,8.84,44.94,31.58,4.41,0
20150327:1030,2187.95,457.51,108.77,6.45,33.1,31.25,4.48,0
20150327:1130,1136.5,230.83,81.77,3.66,20.49,30.46,3.79,0
20150327:1230,177.4,44.49,34.37,1.02,7.57,28.93,3.24,0
20150327:1330,0,0,0,0,-5.39,26.45,3.1,0
20150327:1430,0,0,0,0,0,24.28,3.1,0
20150327:1530,0,0,0,0,0,22.81,3.1,0
20150327:1630,0,0,0,0,0,21.66,3.1,0
20150327:1730,0,0,0,0,0,20.74,3.1,0
20150327:1830,0,0,0,0,0,19.97,2.97,0
20150327:1930,0,0,0,0,0,19.92,3.1,0
20150327:2030,0,0,0,0,0,19.27,2.83,0
20150327:2130,0,0,0,0,0,18.46,2.69,0
20150327:2230,0,0,0,0,0,17.68,2.62,0
20150327:2330,0,0,0,0,0,17.07,2.41,0
20150328:0030,0,0,0,0,-4.68,16.43,2.21,0
20150328:0130,243.95,54.44,40.31,1.24,8.28,15.86,1.79,0
20150328:0230,1286.6,249.38,85.62,3.94,21.2,17.7,0.83,0
20150328:0330,2297.8,474.43,112.68,6.71,33.8,21.63,0.69,0
20150328:0430,3034.85,663.98,136.22,9.04,45.64,24.46,0.83,0
20150328:0530,3493.5,817.66,139.85,10.76,55.75,26.74,0.69,0
20150328:0630,3631.85,886.94,145.09,11.57,62.1,28.46,0.21,0
20150328:0730,3697,881.4,144.64,11.5,61.94,29.75,1.31,0
20150328:0830,3435.4,799.68,139.45,10.55,55.36,30.57,1.59,0
20150328:0930,2901.1,639.76,135.89,8.77,45.14,31.04,1.79,0
20150328:1030,2098.2,430.91,121.34,6.33,33.25,31.15,2.07,0
20150328:1130,1075.75,202.94,95.21,3.54,20.63,30.79,2.28,0
20150328:1230,173.45,25.33,44.92,0.93,7.7,29.68,1.38,0
20150328:1330,0,0,0,0,-5.26,27.53,1.03,0
20150328:1430,0,0,0,0,0,26.76,0.55,0
20150328:1530,0,0,0,0,0,25.62,0.34,0
20150328:1630,0,0,0,0,0,24.26,1.03,0
20150328:1730,0,0,0,0,0,20.93,2.62,0
20150328:1830,0,0,0,0,0,21.02,2.62,0
20150328:1930,0,0,0,0,0,20.92,2.55,0
20150328:2030,0,0,0,0,0,21.16,2.9,0
20150328:2130,0,0,0,0,0,21.32,3.03,0
20150328:2230,0,0,0,0,0,21.4,2.97,0
20150328:2330,0,0,0,0,0,21.36,2.97,0
20150329:0030,0,0,0,0,-4.41,21.27,3.17,0
20150329:0130,139.3,1.72,47.69,0.66,8.54,21.31,3.38,0
20150329:0230,664.75,42.43,136.29,2.29,21.47,21.89,3.86,0
20150329:0330,1188.7,91.97,210.13,3.78,34.09,23.53,4.21,0
20150329:0430,2068.1,239.52,278,6.2,45.96,25.07,4.76,0
20150329:0530,2365.95,264.61,334.23,7.18,56.12,27.01,4.9,0
20150329:0630,2302.4,300.71,283.14,6.92,62.5,28.1,4.83,0
20150329:0730,2011.35,236.48,272.79,6.12,62.3,28.17,5.03,0
20150329:0830,1454.45,128.79,242.85,4.6,55.63,28.04,4.55,0
20150329:0930,1265.55,119.57,205.68,4.02,45.33,28.04,4.48,0
20150329:1030,839.1,64.99,157.15,2.8,33.41,27.62,5.38,0
20150329:1130,309.6,2.81,90.91,1.25,20.76,26.93,5.31,0
20150329:1230,54,0.55,25.26,0.35,7.83,26.02,4.69,0
20150329:1330,0,0,0,0,-5.13,24.81,5.59,0
20150329:1430,0,0,0,0,0,23.46,5.59,0
20150329:1530,0,0,0,0,0,22.96,4.21,0
20150329:1630,0,0,0,0,0,22.47,2.34,0
20150329:1730,0,0,0,0,0,21.21,2.14,0
20150329:1830,0,0,0,0,0,20.41,2.83,0
20150329:1930,0,0,0,0,0,19.77,3.24,0
20150329:2030,0,0,0,0,0,19.1,3.79,0
20150329:2130,0,0,0,0,0,18.69,4.69,0
20150329:2230,0,0,0,0,0,18.42,4.76,0
20150329:2330,0,0,0,0,0,18.16,4.76,0
20150330:0030,0,0,0,0,-4.15,18.07,4.62,0
20150330:0130,139.05,15.31,38.46,0.72,8.81,17.94,4.9,0
20150330:0230,578.65,62.28,94.16,1.97,21.74,18.41,5.17,0
20150330:0330,1570.8,235.63,148.35,4.56,34.38,19.09,4.55,0
20150330:0430,2187.65,292.88,238.9,6.29,46.27,20.28,5.45,0
20150330:0530,2612.25,397.39,241.1,7.44,56.48,20.69,4.9,0
20150330:0630,2899.05,473.63,234.98,8.19,62.89,20.34,5.1,0
20150330:0730,3165.35,474.2,317.88,9.2,62.65,22.54,4.69,0
20150330:0830,3024.2,555.49,200.18,8.66,55.89,23.39,4.41,0
20150330:0930,2438.15,415.25,193.36,7.06,45.53,24.77,4.41,0
20150330:1030,1694.55,241.53,185.49,5.08,33.56,25.09,4.28,0
20150330:1130,953.05,158.39,98.47,3.12,20.89,24.45,3.24,0
20150330:1230,142.15,20.57,38.05,0.8,7.95,23.2,2.41,0
20150330:1330,0,0,0,0,-5,21.65,2.69,0
20150330:1430,0,0,0,0,0,20.68,3.03,0
20150330:1530,0,0,0,0,0,20.33,3.17,0
20150330:1630,0,0,0,0,0,20.19,3.17,0
20150330:1730,0,0,0,0,0,19.98,3.1,0
20150330:1830,0,0,0,0,0,19.44,3.1,0
20150330:1930,0,0,0,0,0,19.51,3.38,0
20150330:2030,0,0,0,0,0,19.06,2.9,0
20150330:2130,0,0,0,0,0,18.52,2.41,0
20150330:2230,0,0,0,0,0,18.12,2.21,0
20150330:2330,0,0,0,0,0,17.63,2.55,0
20150331:0030,0,0,0,0,-3.88,17.46,2.76,0
20150331:0130,213.25,42.16,40.18,1.12,9.07,17.36,2.97,0
20150331:0230,1185.4,213.72,92.56,3.7,22,18.38,2.83,0
20150331:0330,2198.65,419.76,123.19,6.33,34.66,20.4,3.17,0
20150331:0430,2918.05,592.85,138.54,8.39,46.59,22.3,3.1,0
20150331:0530,3408.8,713.76,160.11,9.96,56.84,23.98,3.1,0
20150331:0630,3394.4,701.36,176.44,10,63.29,25.3,2.97,0
20150331:0730,3514.7,755.49,166.79,10.48,63,26.06,2.55,0
20150331:0830,3079.55,607.26,206.55,9.33,56.15,26.61,1.45,0
20150331:0930,2101.85,379.66,164.1,6.34,45.72,26.89,0.9,0
20150331:1030,1633.2,303.8,119.65,4.98,33.71,26.73,0.76,0
20150331:1130,850.95,147.88,88.16,2.89,21.02,26.55,0.62,0
20150331:1230,158.75,32.5,36.37,0.95,8.08,26.11,0.69,0
20150331:1330,0,0,0,0,-4.87,25.34,0.14,0
20150331:1430,0,0,0,0,0,24.25,0.21,0
20150331:1530,0,0,0,0,0,23.22,0.34,0
20150331:1630,0,0,0,0,0,22.25,0.62,0
20150331:1730,0,0,0,0,0,19.87,1.31,0
20150331:1830,0,0,0,0,0,18.35,1.72,0
20150331:1930,0,0,0,0,0,17.72,1.59,0
20150331:2030,0,0,0,0,0,17.16,1.86,0
20150331:2130,0,0,0,0,0,16.85,1.93,0
20150331:2230,0,0,0,0,0,16.65,1.79,0
20150331:2330,0,0,0,0,0,16.79,1.45,0
20150401:0030,0,0,0,0,-3.62,17.18,1.17,0
20150401:0130,213.25,7,62.57,0.94,9.33,18.12,0.83,0
20150401:0230,1145.2,183.45,116.79,3.67,22.27,19.14,0.28,0
20150401:0330,2032.15,348.17,171.03,6.13,34.94,22,0.48,0
20150401:0430,2737.45,490.97,224.19,8.31,46.9,24.15,0.76,0
20150401:0530,3258.15,632.07,239.7,10.02,57.2,25.67,1.03,0
20150401:0630,2985.15,448.16,351.86,9.39,63.68,26.77,0.9,0
20150401:0730,3084.7,508.19,325.54,9.71,63.35,27.69,0.9,0
20150401:0830,2567.55,381.46,299.48,8.03,56.41,28.31,0.97,0
20150401:0930,1143.55,49.2,253.45,3.91,45.91,28.22,0.69,0
20150401:1030,990.8,103.99,157.95,3.26,33.86,26.95,0.62,0
20150401:1130,712.25,92.52,106.15,2.49,21.15,26.43,0.62,0
20150401:1230,70.3,7.13,26.39,0.46,8.2,25.66,0.28,0
20150401:1330,0,0,0,0,-4.74,24.48,1.86,0
20150401:1430,0,0,0,0,0,23.2,3.03,0
20150401:1530,0,0,0,0,0,22.62,2.28,0
20150401:1630,0,0,0,0,0,21.71,1.72,0
20150401:1730,0,0,0,0,0,20.78,3.72,0
20150401:1830,0,0,0,0,0,20.07,4.9,0
20150401:1930,0,0,0,0,0,20.86,4.21,0
20150401:2030,0,0,0,0,0,20.54,3.86,0
20150401:2130,0,0,0,0,0,20.02,3.86,0
20150401:2230,0,0,0,0,0,19.75,3.79,0
20150401:2330,0,0,0,0,0,19.43,3.52,0
20150402:0030,0,0,0,0,-3.36,19.01,3.45,0
20150402:0130,234.75,44.07,44.29,1.23,9.59,18.65,3.17,0
20150402:0230,1197.45,220.09,90.7,3.8,22.53,19.3,2.48,0
20150402:0330,2162.5,406.03,135.34,6.38,35.22,21.52,2.14,0
20150402:0430,2919.45,602.99,145.34,8.65,47.21,23.74,1.93,0
20150402:0530,3295.4,654.35,212.16,9.98,57.55,25.7,1.93,0
20150402:0630,3701.85,832.59,163.73,11.38,64.08,27.28,2,0
20150402:0730,3667,843.37,151.18,11.35,63.7,28.67,1.93,0
20150402:0830,3379.45,775.33,135.63,10.44,56.67,29.67,1.86,0
20150402:0930,2796.3,610.75,130.4,8.57,46.09,30.05,1.72,0
20150402:1030,1784.5,331.55,137.31,5.56,34.01,30.05,1.31,0
20150402:1130,791.3,99.73,121.85,2.79,21.28,29.85,1.17,0
20150402:1230,129.9,6.29,44.17,0.69,8.32,28.8,1.45,0
20150402:1330,0,0,0,0,-4.61,26.99,2,0
20150402:1430,0,0,0,0,0,25.07,2.41,0
20150402:1530,0,0,0,0,0,24.16,2.55,0
20150402:1630,0,0,0,0,0,23.52,2.41,0
20150402:1730,0,0,0,0,0,22.66,2.62,0
20150402:1830,0,0,0,0,0,21.8,2.55,0
20150402:1930,0,0,0,0,0,21.08,3.59,0
20150402:2030,0,0,0,0,0,21.13,3.93,0
20150402:2130,0,0,0,0,0,21.43,4.28,0
20150402:2230,0,0,0,0,0,19.93,3.66,0
20150402:2330,0,0,0,0,0,18.77,3.31,0
20150403:0030,0,0,0,0,-3.09,18.22,4.14,0
20150403:0130,213.75,26.95,49.63,1.06,9.85,17.99,5.1,0
20150403:0230,725.1,124.58,68.42,2.4,22.8,18.62,5.17,0
20150403:0330,1147.1,173.98,111.25,3.46,35.5,19.82,4.14,0
20150403:0430,871.8,27.77,197.13,2.94,47.52,20.84,2.48,0
20150403:0530,1241.15,96.26,211.86,3.88,57.91,20.07,4.14,0
20150403:0630,2340.85,287.97,288.36,6.93,64.47,21.42,4.28,0
20150403:0730,2681.3,425.69,244.26,7.87,64.05,23.95,4.14,0
20150403:0830,2147.55,348.46,185.91,6.31,56.92,24.87,4.14,0
20150403:0930,2291.3,404.57,166.52,6.71,46.28,25,4.34,0
20150403:1030,1759.75,304.88,136.65,5.28,34.15,24.7,4.28,0
20150403:1130,753.55,111.16,95.55,2.6,21.41,25.04,4,0
20150403:1230,154.45,30.18,36.42,0.96,8.45,24.41,3.59,0
20150403:1330,0,0,0,0,-4.48,23.03,3.45,0
20150403:1430,0,0,0,0,0,21.63,3.24,0
20150403:1530,0,0,0,0,0,20.58,3.1,0
20150403:1630,0,0,0,0,0,19.76,3.1,0
20150403:1730,0,0,0,0,0,19.37,3.24,0
20150403:1830,0,0,0,0,0,19,2.62,0
20150403:1930,0,0,0,0,0,19.55,2.21,0
20150403:2030,0,0,0,0,0,19.3,2.07,0
20150403:2130,0,0,0,0,0,19.05,2.55,0
20150403:2230,0,0,0,0,0,18.96,2.69,0
20150403:2330,0,0,0,0,0,18.7,2.14,0
20150404:0030,0,0,0,0,-2.83,18.19,0.9,0
20150404:0130,61.4,0.08,26.94,0.36,10.1,17.86,2,0
20150404:0230,101.2,0,38.09,0.51,23.06,17.84,1.59,0
20150404:0330,750.35,24.96,169.08,2.54,35.77,18.29,2.76,0
20150404:0430,1597.55,127.83,268.97,4.97,47.82,19.66,2.07,0
20150404:0530,1447.9,115.24,247.87,4.56,58.26,21.38,1.93,0
20150404:0630,2333.3,301.92,279.03,6.98,64.86,22.22,3.1,0
20150404:0730,2609.15,433.56,227.49,7.77,64.39,23.21,2,0
20150404:0830,2737.85,460.46,238.16,8.21,57.17,24.01,2.14,0
20150404:0930,1912.75,302.71,178.93,5.75,46.46,24.49,2.21,0
20150404:1030,1592.7,268.27,134.02,4.85,34.29,23.83,2.41,0
20150404:1130,673.8,99,86.3,2.35,21.53,22.37,2.55,0
20150404:1230,114.9,16.1,33.37,0.71,8.57,21.65,2.41,0
20150404:1330,0,0,0,0,-4.35,20.41,1.45,0
20150404:1430,0,0,0,0,0,20.03,1.17,0
20150404:1530,0,0,0,0,0,19.3,1.1,0
20150404:1630,0,0,0,0,0,18.34,1.52,0
20150404:1730,0,0,0,0,0,17.78,2.07,0
20150404:1830,0,0,0,0,0,17.24,2.07,0
20150404:1930,0,0,0,0,0,17.26,2.14,0
